No,Nama Perusahaan,Merek Perusahaan,Nomor Anggota,Nama Pimpinan,Perijinan,Kota,Provinsi,DPD
"335","PT SAFA NISA RIZKY","-","543/AMPHURI/2020","H. Anisah Bawazir","PIHK","","Sumatera Utara","Sumatera Utara"
"336","PT SURYA BUANA WISATA","-","544/AMPHURI/2020","Dr. H. Sakidi M. Akt","PPIU","","Jawa Tengah","Jawa Tengah"
"337","PT ZIARAH HATI NURANI","-","545/AMPHURI/2020","Hj. Dewi Aristiawati, Sh","PIHK","","Jawa Timur","Jawa Timur"
"338","PT ALINDRA MUTIARA HATI","-","546/AMPHURI/2020","H. Muhammad Mujur","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"339","PT BAROKAH INSAN MUHSININ","-","547/AMPHURI/2020","H. Muhammad Kholid","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"340","PT TRAVELINA INDONESIA","-","548/AMPHURI/2020","H. M. Wisya Aditama","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"341","PT CAHAYA KUBAH MULIA","-","550/AMPHURI/2020","Dra. Hj. Sri Fatonah","PPIU","","Jawa Timur","Jawa Timur"
"342","PT CIPTA QAWAFIL ALSHAFA","-","551/AMPHURI/2020","H. Agus Zulkarnain","PPIU","","Jawa Timur","Jawa Timur"
"343","PT KARIBIN NUR IBADAH ARBAIN","-","552/AMPHURI/2020","Hj. Eny Sabarati","PIHK","","Jawa Tengah","Jawa Tengah"
"344","PT TAKASA WISATA INDONESIA","-","553/AMPHURI/2020","Hj. Anny Alkhusniaty","PPIU","","Jawa Barat","Jawa Barat"
"345","PT GADIKAH MANDIRI ISLAMI","-","554/AMPHURI/2020","H. Muhammad Nasir Karim, Lc, Ma","PPIU","","Sumatera Utara","Sumatera Utara"
"346","PT CITRA SAHABAT ASIA","-","555/AMPHURI/2020","H. Fathor Rahman","PIHK","","Jawa Timur","Jawa Timur"
"347","PT FAHMY GLOBAL MANDIRI","-","556/AMPHURI/2020","H. Achmad Fachmy","PPIU","","Jawa Timur","Jawa Timur"
"348","PT AYU AMANAH NUSANTARA","-","557/AMPHURI/2020","H. Anton Ridwan Ardiansyah","PPIU","","Jawa Timur","Jawa Timur"
"349","PT HENIRA CITRA UTAMA","-","558/AMPHURI/2020","H. Nizar Bin Zagar","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"350","PT DUTA GHEYATRI PRIMA","-","559/AMPHURI/2020","H. Dede Badrudin","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"351","PT NUR AMANAH WISATA","-","562/AMPHURI/2020","H. Mumtaza Kamal Mirza","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"352","PT FELA TOUR TRAVEL","-","563/AMPHURI/2020","H. Maulana Ahmad","PPIU","","Jawa Tengah","Jawa Tengah"
"353","PT ARBANI MADINAH WISATA","-","564/AMPHURI/2020","H. Bayu J. Prayogo, Se, Sh, Mm","PIHK","","Jawa Tengah","Jawa Tengah"
"354","PT SURYA CITRA MADANI","-","565/AMPHURI/2020","H. Yusuf Abdul Hasan","PPIU","","DIY. Yogyakarta","Daerah Istimewa Yogyakarta"
"355","PT HAYATUN THAYIBAH TOUR","-","566/AMPHURI/2020","Ir. Hj. Diana Sofhya","PIHK","","Banten","Banten"
"356","PT BERKAH CAHAYA SAFAR","-","567/AMPHURI/2020","H. Rusdianto","PIHK","","Jawa Barat","Jawa Barat"
"357","PT ANDALAS JAYA WISATA","-","569/AMPHURI/2020","H. Angga Perdana, S. Si","PIHK","","Jambi","Sumatera Selatan, Bengkulu, & Babel"
"358","PT MUMTAAZ CAHAYA ABADI","-","572/AMPHURI/2020","H. Emuh Muhtia","PPIU","","Jawa Barat","Jawa Barat"
"359","PT SITI NAMIRAH WISATA","Algia Tour","573/AMPHURI/2020","H. Muhamad Ali Asholafudin","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"360","PT NASUHA YASSINTA JAYA ABADI","-","574/AMPHURI/2020","H. Muhammad Firmansyah","PIHK","","Jawa Barat","Jawa Barat"
"361","PT RAFFI INDO MAKMUR","Raffindo Wisata","575/AMPHURI/2020","H. Erik Rafikana","PPIU","","Banten","Banten"
"362","PT SMEVASINDO HOLIDAY","-","576/AMPHURI/2020","H. Jupriadi","PIHK","","Riau","Kepulauan Riau, Riau"
"363","PT ALATAB LESTARI BERSAUDARA","-","577/AMPHURI/2020","H. Ali Mugiz","PPIU","","Jawa Timur","Jawa Timur"
"364","PT FAWWAZ RAMADHAN WISATA","-","578/AMPHURI/2020","H. Ahmad Dahlan , S. Pd.I","PPIU","","Sulawesi Selatan","Sulampua"
"365","PT SIMA SAKTI AULIA","-","579/AMPHURI/2020","H. Heri Hidayat","PPIU","","Jawa Barat","Jawa Barat"
"366","PT LIN ASH BANIA","-","580/AMPHURI/2020","Hj. Jamilah, Dr","PPIU","","Jawa Tengah","Jawa Tengah"
"367","PT DWI MANDIRI SEMESTA","-","581/AMPHURI/2020","Hj. Rika Martianti","PPIU","","Banten","Banten"
"368","PT SAUDI AMANAH WISATA","-","582/AMPHURI/2020","H. Muhammad Ashar Tamanggong","PPIU","","Sulawesi Selatan","Sulampua"
"369","PT PRABU SAFARI IMANI","-","583/AMPHURI/2020","H. Fredy Romain","PPIU","","Sumatera Selatan","Sumatera Selatan, Bengkulu, & Babel"
"370","PT GHINA HAURA KHANSA MANDIRI","Haura Tour & Travel","584/AMPHURI/2020","Hj. Hernawati","PIHK","","Banten","Banten"
"371","PT NAS TOUR & TRAVEL","Nastour","585/AMPHURI/2020","Hj. Nunuk Sudarni","PPIU","","Banten","Banten"
"372","PT ZAM ZAM TOUR DAN TRAVEL","-","586/AMPHURI/2020","H. Muhamad Tri Wibowo","PPIU","","Jawa Tengah","Jawa Tengah"
"373","PT RAUDHAH MULTAZAM INDONESIA","Rami Tour","587/AMPHURI/2020","H. Chandry Yonathan","PIHK","","Jawa Tengah","Jawa Tengah"
"374","PT BIOTA WISATA TOUR & TRAVEL","Biota Wisata","588/AMPHURI/2020","Hj. Waode Fatmawati. F","PPIU","","Sulawesi Selatan","Sulampua"
"375","PT ANUGERAH DWI DUTAWISATA","Nakhla Tour","589/AMPHURI/2020","H. Abdul Aziz Galib Al Owainy","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"376","PT BRILLIANT TIGA PERKASA","-","590/AMPHURI/2020","Drs. H. Didik Merdianto","PPIU","","Jawa Timur","Jawa Timur"
"377","PT KAREBA MAKKADINAH WISATA","Kareba Makkadinah","591/AMPHURI/2020","H. Yusman","PIHK","","Sulawesi Selatan","Sulampua"
"378","PT SYAWARIFIYYAH","-","592/AMPHURI/2020","Hj. Fina Mariya Sari","PPIU","","Jawa Tengah","Jawa Tengah"
"379","PT NURZA TANJUNG","-","594/AMPHURI/2020","Hj. Nova Nurlina Masindra","PPIU","","Kalimantan Selatan","Kalimantan Timur dan Kalimantan Utara (Kaltimtara)"
"380","PT MAMDUH WISATA ILAHI","Mwi","596/AMPHURI/2020","H. Patahuddin Mantasa Lc,Ma,Omd","PPIU","","Sulawesi Selatan","Sulampua"
"381","PT JELAJAH WISATA THOYIBAH","-","597/AMPHURI/2020","H. Akmaludin Akbar, M.Psi","PIHK","","Jawa Tengah","Jawa Tengah"
"382","PT MANARA TABA INDONESIA","Mti Tour & Travel","598/AMPHURI/2020","H. Muhamad Fachriza","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"383","PT ARAFAH MEDINA JAYA","-","599/AMPHURI/2021","K.H. Nuruddin Amin, S. Ag","PPIU","","Jawa Tengah","Jawa Tengah"
"384","PT SEKOLAH HAJI UMROH BAITULLAH","-","601/AMPHURI/2021","Hj. Husni Anisah, S. Pd","PIHK","","Jawa Tengah","Jawa Tengah"
"385","PT SHOFA MARWAH","-","602/AMPHURI/2021","H. Sularjo","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"386","PT RETALI MUSTAJAB TRAVEL","-","604/AMPHURI/2021","Hj. Anita Retiana","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"387","PT WISATA HATI UNIVERSAL","-","605/AMPHURI/2021","H. Boby Rachman","PIHK","","Jawa Barat","Jawa Barat"
"388","PT AYO BERANGKAT IBADAH","Abi Tours And Travel","606/AMPHURI/2021","H. Ahmad Jupri","PPIU","","Jawa Timur","Jawa Timur"
"389","PT CAHAYA RIFAQO MADUSARIE","-","607/AMPHURI/2021","Hj. Qonita Lutfiyah, Se. Mm","PPIU","","Jawa Barat","Jawa Barat"
"390","PT PBMT TOUR DAN TRAVEL","-","608/AMPHURI/2021","Drs. H. Asep Sutisna, Mm.","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"391","PT ARYANFA MITRA MADANI","-","609/AMPHURI/2021","Hj. Wasita Dewi Siregar","PPIU","","Sumatera Utara","Sumatera Utara"
"392","PT VISTA INDO SKY","-","610/AMPHURI/2021","Hj. Novi Finalty, Se, Mm","PPIU","","Sumatera Selatan","Sumatera Selatan, Bengkulu, & Babel"
"393","PT ZALFA SALSABILA ZAHRA","-","611/AMPHURI/2021","H. Muzakki","PPIU","","Jawa Timur","Jawa Timur"
"394","PT CAHAYA MUTIARA WISATA","-","612/AMPHURI/2021","H. Imam Syafii S. Pd.I","PPIU","","Kalimantan Timur","Kalimantan Timur dan Kalimantan Utara (Kaltimtara)"
"395","PT HAJI MABRUR BAROKAH","-","613/AMPHURI/2021","H. Faizal Abu Hasyim","PIHK","","Sulawesi Selatan","Sulampua"
"396","PT TUJUH PUTRI BAROKAH","-","614/AMPHURI/2021","Hj. Devi Trisnawati","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"397","PT PRIMA TIGA SATU","-","615/AMPHURI/2021","Hj. Fitriah","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"398","PT ANITA VIA HARLI","-","616/AMPHURI/2021","Hj. Anita Via Harli","PIHK","","Jawa Timur","Jawa Timur"
"399","PT AMANA BERKAH MANDIRI","-","617/AMPHURI/2021","H. Achmad Rifai Gatot, S. Ag","PPIU","","DIY. Yogyakarta","Daerah Istimewa Yogyakarta"
"400","PT PENJURU WISATA NAHDLATUL UMMAT","-","618/AMPHURI/2021","H. Bambang Nyoto Miyarso","PPIU","","Riau","Kepulauan Riau, Riau"
"401","PT PUNAMA MULIA WISATA","-","619/AMPHURI/2021","H. Michael","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"402","PT KARIMA MANDIRI SUKSES","-","620/AMPHURI/2021","H. Arnadi","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"403","PT NOVAVIL MUTIARA UTAMA","-","621/AMPHURI/2021","Hj. Nova Lahay, S. Kom. I","PPIU","","Jawa Barat","Jawa Barat"
"404","PT FAHIRA ARAFAH UTAMA","-","622/AMPHURI/2021","H. Roni Hadinata, Se","PIHK","","Banten","Banten"
"405","PT SUNAN TOUR AND TRAVEL","-","623/AMPHURI/2021","Hj. Evi Fediarti","PIHK","","Jawa Tengah","Jawa Tengah"
"406","PT JASA DAN KEPARIWISATAAN JABAR","-","624/AMPHURI/2021","H. Wahyu Nugroho","PPIU","","Jawa Barat","Jawa Barat"
"407","PT MALAKA PERSADA PRATAMA","-","625/AMPHURI/2021","Hj. Dwiana Ikafitri Narukaya, S.Ip","PPIU","","Jawa Barat","Jawa Barat"
"408","PT FUTTUH MAKKAH ALWAHYU","-","626/AMPHURI/2021","H. Wahyudi Se, Mm.","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"409","PT FATUHA AMANAH WISATA INSANI","-","627/AMPHURI/2021","H. Setia Budi Yunarto M.Cm","PIHK","","Jawa Barat","Jawa Barat"
"410","PT ASHANTY PERDANA PRATIWI","-","628/AMPHURI/2021","Hj. Handita Aria Perdana","PPIU","","Jawa Timur","Jawa Timur"
"411","PT AMANAH PERKASA MADINAH","Apm Travel","629/AMPHURI/2021","Hj. Siswati","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"412","PT MAHKOTA DHUHARIFQI MANDIRI WISATA","Anta Umroh","630/AMPHURI/2021","H. Fikdanel Thaufik","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"413","PT ININNAWA RIHLA UTAMA","Ininnawa Travel","631/AMPHURI/2021","Hj. Ernawati","PIHK","","Sulawesi Selatan","Sulampua"
"414","PT ROYAL IMAN WISATA","Royal Iman","632/AMPHURI/2021","Hj. Rosminah, Se","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"415","PT ALIZZA BERKAH ABADI","Al Izza Tour & Travel","633/AMPHURI/2021","H. Muhammad Mamun","PPIU","","Banten","Banten"
"416","PT AERO UMROH NUSANTARA","Aero","634/AMPHURI/2021","Hj. Emilyani","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"417","PT DAYTAMA SINERGI WISATA","Dsw Travel","635/AMPHURI/2021","H. Edi Waluyo","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"418","PT HAEKAL JAYA WISATA","Haekal Travel","636/AMPHURI/2021","H. Djafar Shodiq","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"419","PT MADINAH INDAH WISATA","Umrohpass","637/AMPHURI/2021","H. Adharta Astantio","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"420","PT AL-ANDALUS HARAMAIN GROUP","-","638/AMPHURI/2021","H. Purnomo","PPIU","","Sumatera Utara","Sumatera Utara"
"421","PT AN NUR KALTARA ARAFAH","-","639/AMPHURI/2021","Hj. Nur Fitriana, S.Pd","PPIU","","Kalimatan Utara","Kalimantan Timur dan Kalimantan Utara (Kaltimtara)"
"422","PT TAYSIR TOUR DAN TRAVEL","Travel Made Easy","640/AMPHURI/2021","H. Achmad Idris","PPIU","","Sumatera Selatan","Sumatera Selatan, Bengkulu, & Babel"
"423","PT RATU HAMIDAH SAMPURNA BERSAUDARA","Hamidah Private Tour & Travel","641/AMPHURI/2021","Hj. Ryni Van Ditta","PPIU","","Sumatera Selatan","Sumatera Selatan, Bengkulu, & Babel"
"424","PT DIYANTI MENOREH BAROKAH","Dmb Tour & Travel","642/AMPHURI/2021","Hj. Lucy Widyanti","PPIU","","Jawa Barat","Jawa Barat"
"425","PT INDO RIHLAH UTAMA","-","643/AMPHURI/2021","Drs. H. Umar Said, M.Ag","PPIU","","Jawa Timur","Jawa Timur"
"426","PT ASSHOFIYAH TOUR AND TRAVEL","-","644/AMPHURI/2021","Hj. Regina Ariesta Aljanna,Se., Mm","PPIU","","Jawa Tengah","Jawa Tengah"
"427","PT DJAMILAH NURUL HIKMAH","Dnh Travel","645/AMPHURI/2021","Hj. Djamilah Nurul Hikmah","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"428","PT RINOV MANDIRI WISATA","Altrama Tour","646/AMPHURI/2021","H. Hadyan Fahrul Umam","PIHK","","Banten","Banten"
"429","PT DAR TAUHID HARAMAIN","Dth Tour & Travel","647/AMPHURI/2021","H. Welly Rifandi, Se","PPIU","","Nangroe Aceh Darussalam","Aceh"
"430","PT ABU MEKKAH TOUR & TRAVEL","-","648/AMPHURI/2021","H. Multazam, Bma, Mm","PPIU","","Nangroe Aceh Darussalam","Aceh"
"431","PT SARMANIYA BINA UTAMA","-","649/AMPHURI/2021","H. Budi Luhur Ramadhansyah","PPIU","","Nangroe Aceh Darussalam","Aceh"
"432","PT KATANA WISATA PERKASA","Katana Tour","650/AMPHURI/2021","H. Ahmad Ikbar Fuadi Suhelmi","PPIU","","Nangroe Aceh Darussalam","Aceh"
"433","PT ALSA PANCA PERKASA","Alsa Travel","651/AMPHURI/2021","H. Yusra Alsa","PPIU","","Nangroe Aceh Darussalam","Aceh"
"434","PT BULUSARAUNG JAYA MANDIRI","Bulusaraung Tour & Travel","653/AMPHURI/2021","H. Suryadi","PIHK","","Sulawesi Selatan","Sulampua"
"435","PT RAUDHA RAHMA ABADI","Raudha Tour","654/AMPHURI/2021","H. Herdiansyah","PIHK","","Banten","Banten"
"436","PT MADINA PRIMA GROUP","-","655/AMPHURI/2022","Hj. Nurriansyah","PPIU","","DIY. Yogyakarta","Daerah Istimewa Yogyakarta"
"437","PT LUZI BEN JAWAS WISATA","-","656/AMPHURI/2022","H. Luqman Hakim","PPIU","","Nangroe Aceh Darussalam","Aceh"
"438","PT CAHAYA ALAM WISATA","Hayata Tours","657/AMPHURI/2022","H. Ahsan Hasan","PPIU","","Sulawesi Selatan","Sulampua"
"439","PT THURSINA SEJAHTERA ABADI","Thursina Tour","658/AMPHURI/2022","Hj. Sukma Tri Panyuluh","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"440","PT RAGHIL PUTRA NUANSA","Halla Tour","659/AMPHURI/2022","H. Achmad Faisal","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"441","PT LAATANSA WISATA INTERNASIONAL","Laawista Travel","660/AMPHURI/2022","Hj. Khanifah, S.E","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"442","PT SHOFA MARWAH INTERNASIONAL","Shoma Tours","661/AMPHURI/2022","H. Mohamad Rene M Septyawan","PIHK","","Jawa Barat","Jawa Barat"
"443","PT MITRA WISATA ANDA","-","663/AMPHURI/2022","H. Hermanto","PIHK","","Jawa Timur","Jawa Timur"
"444","PT GEMILANG DUNIA WISATA","-","664/AMPHURI/2022","Hj. Ulfha Rizki Alia","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"445","PT ALDAWOOD BAROKAH UTAMA","-","665/AMPHURI/2022","H. Abu Dawud Hidayaturrobi","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"446","PT AFWAJA INSAN KAMIL","-","666/AMPHURI/2022","H. Bayu Prabowo","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"447","PT GRAHA TIARA INDONESIA","-","667/AMPHURI/2022","Hj. Resty Pratiwi Putri","PPIU","","Sumatera Selatan","Sumatera Selatan, Bengkulu, & Babel"
"448","PT KASTURI MANDIRI WISATA","-","668/AMPHURI/2022","H. Bima Artika","PPIU","","Banten","Banten"
"449","PT MAHABBAH FAMILY TOUR DAN TRAVEL","-","669/AMPHURI/2022","H. M. Ihsan Kamil","PPIU","","Sumatera Barat","Sumatera Barat"
"450","PT LESTARI BINA USADA","-","671/AMPHURI/2022","H. Musafa Saiful Ali","PPIU","","Jawa Barat","Jawa Barat"
"451","PT HIJAZ TOUR & TRAVEL","Hijaz Tours & Travel","672/AMPHURI/2022","H. Muhammad Iqbal, M. Si","PIHK","","Jawa Timur","Jawa Timur"
"452","PT DAN BERKAH ABADI","Sadja Tour","673/AMPHURI/2022","Hj. Nuri Khaerani","PPIU","","Jawa Barat","Jawa Barat"
"453","PT SHAFWAH MITRA TRAVELINDO","Shafwah Travel","674/AMPHURI/2022","H. Zaenudin","PPIU","","Jawa Barat","Jawa Barat"
"454","PT TAMIMI WISATA","Tamimi Wisata","675/AMPHURI/2022","H. Nadher Attamimi","PPIU","","Jawa Timur","Jawa Timur"
"455","PT RIFLA WISATA UTAMA","Rifla Tour & Travel","676/AMPHURI/2022","H. Muhammad Rezsa","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"456","PT DIDI MABRUK BAYANAKA","-","677/AMPHURI/2022","H. Yadi Supriyadi, Se, Sh, Mm.","PIHK","","Jawa Barat","Jawa Barat"
"457","PT DUTA TELAGA TAKWA","Dutarizkia Tour & Travel","678/AMPHURI/2022","H. Suherman, Se, Mm.","PPIU","","Jawa Barat","Jawa Barat"
"458","PT SAFARI INDAH WISATA","Siw Tour","679/AMPHURI/2022","Hj. Widianti","PIHK","","Jawa Barat","Jawa Barat"
"459","PT JAYARAYA AKBAR BAROKAH","Jayaraya Travel","680/AMPHURI/2022","H. Fuad Akbar","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"460","PT ARDHIAN CAHAYA SOERYA","-","681/AMPHURI/2022","H. Helmi Hafiyyan Sujudi","PIHK","","DIY. Yogyakarta","Daerah Istimewa Yogyakarta"
"461","PT SARAYA ANUGRAH","-","682/AMPHURI/2022","Dra. Ec. Hj. Nurul Masithoh, M. Si","PPIU","","Jawa Timur","Jawa Timur"
"462","PT CIPTA SYAWAL ANUGERAH","-","683/AMPHURI/2022","H. Aidil Muchammad","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"463","PT ALFAJR TRAVELINDO INDONESIA","-","684/AMPHURI/2022","H. Muhammad Nur","PIHK","","Jawa Tengah","Jawa Tengah"
"464","PT HARAMAIN ANUGERAH CINTAWISATA","Hac Tour & Travel","685/AMPHURI/2022","H. Abdillah Assegaf","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"465","PT BAROKAH MADINAH TOUR","-","686/AMPHURI/2022","H. Ahmad Qomaruddin","PPIU","","Jawa Tengah","Jawa Tengah"
"466","PT HIJRAH HAJI DAN UMROH","-","687/AMPHURI/2022","Hj. Maharani S.Sos.I","PPIU","","Banten","Banten"
"467","PT ALKHALID KUSUMA WARDANI","Akuw Tours","688/AMPHURI/2022","Hj. Dian Anggreani","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"468","PT ANEKA GLOBAL WISATA","Moon Tour","689/AMPHURI/2022","Hj. Andita Sumantri","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"469","PT VISI WISATA UNIVERSAL","Visitours","690/AMPHURI/2022","Hj. Guty Putri","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"470","PT AZFA NUR HAROMAIN","-","691/AMPHURI/2022","H. Ahmad Muhajir","PPIU","","Jawa Timur","Jawa Timur"
"471","PT QIBLATAIN SAFARINA BAKTI","-","692/AMPHURI/2022","Hj. Sofiyah","PPIU","","Jawa Timur","Jawa Timur"
"472","PT DUTA MULIA ISWANA EKAPRATAMA","Duta Mulia","693/AMPHURI/2022","H. Ivan Septiadi G","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"473","PT OMARUMI MITRA WISATA","Travelta","694/AMPHURI/2022","Hj. Fawziah Suci Ramadhani","PPIU","","Sulawesi Selatan","Sulampua"
"474","PT DUTA SAHARA WISATA","-","695/AMPHURI/2022","H. Probosari Wardani","PIHK","","Jawa Barat","Jawa Barat"
"475","PT FADHILAH AMANAH WISATA","Faw Tours & Travel","697/AMPHURI/2022","H. Samsul Haryono","PPIU","","Jawa Barat","Jawa Barat"
"476","PT EZKIA BAROKAH ABADI","-","698/AMPHURI/2022","H. Dody Andriyan","PPIU","","Jawa Barat","Jawa Barat"
"477","PT NUSANTARA ILHAMI","-","699/AMPHURI/2022","H. Ridwan Muaz","PPIU","","Jawa Barat","Jawa Barat"
"478","PT AL-MABRUR ACEH","-","700/AMPHURI/2022","H. Abdul Muthalib Buchari","PPIU","","Nangroe Aceh Darussalam","Aceh"
"479","PT BABA MANDIRI WISATA","-","701/AMPHURI/2022","H. Topan Saputra, M. Pd.I","PPIU","","Sumatera Selatan","Sumatera Selatan, Bengkulu, & Babel"
"480","PT ASWA MULIA BERKAH","-","702/AMPHURI/2022","H. Brian Adrea Wicaksono","PPIU","","Jawa Barat","Jawa Barat"
"481","PT DEFA ALFAZZA TUR","Defa Tour","703/AMPHURI/2022","Hj. Meinny Ikawati","PPIU","","Jawa Tengah","Jawa Tengah"
"482","PT MUDAH WISATA BERSAMA","Mudatama Tour & Travel","704/AMPHURI/2022","H. Hadi Yusfardian","PPIU","","Banten","Banten"
"483","PT BUANA INTIDAYA MANDIRI","-","705/AMPHURI/2022","H. Moh. Linton Soleh","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"484","PT NUANSA CERIA PESONA","-","706/AMPHURI/2022","H. Esam Omar Mohamed Azzubaidi","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"485","PT CAHAYA JAYA WISATA","-","707/AMPHURI/2022","Hj. Navissa Aurelia Ramandha Chandra","PIHK","","Jawa Timur","Jawa Timur"
"486","PT MATA AIR SENTOSA","Marhabamba Tour & Travel","708/AMPHURI/2022","Hj. Naila Amrillah","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"487","PT BARIKLANA BURDAH NUSANTARA","Elburdah Bariklana","710/AMPHURI/2022","H. Abdullah Mufid Mubarok S.Ikom","PPIU","","Jawa Timur","Jawa Timur"
"488","PT BUNGOMAS MEGA WISATA","Bungomas Tour & Travel","711/AMPHURI/2022","H. Africon","PPIU","","Jambi","Sumatera Selatan, Bengkulu, & Babel"
"489","PT HALALTRIP BARAKAH ABADI","-","712/AMPHURI/2022","H. Rahmat Fadillah","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"490","PT ALFAJR SARANA WISATA","Alfajr Sarana Travel","713/AMPHURI/2022","H. Abdul Kadir","PPIU","","Nangroe Aceh Darussalam","Aceh"
"491","PT ANNISA AHMADA TRAVELINDO","Its Grup","714/AMPHURI/2022","Hj. Erny Khoirun Nisa","PIHK","","Jawa Timur","Jawa Timur"
"492","PT JENNATY WISATA QOLBY","Jennaty Tour & Travel","715/AMPHURI/2022","H. Zaki Zamani","PPIU","","Jawa Timur","Jawa Timur"
"493","PT HOLIDAY BUMI ALAM SURAMBI","Holiday Bumi Alam Surambi","716/AMPHURI/2022","H. Zul Apendi, S.Hi","PPIU","","Sumatera Barat","Sumatera Barat"
"494","PT AMININ TRAVEL INDONESIA","Aminin Travel","717/AMPHURI/2022","H. Iqbal Alan Abdullah","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"495","PT TIGA MITRA PLUS","3 Mitra","718/AMPHURI/2022","Ir. H. Muslim Harun Se. Msc","PPIU","","Sumatera Utara","Sumatera Utara"
"496","PT LENSAKA CAHAYA ABADI","Qashwa Tours & Travel","719/AMPHURI/2022","H. Muhammad Hidir Andi Saka","PPIU","","Banten","Banten"
"497","PT ATOUR JELAJAH SEMESTA","-","AK/296/AMPHURI/2017","Hj. Nunik Kartawijaya","Kemitraan","","Jawa Barat","Jawa Barat"
"498","PT KISAH WISATA AMANAH","-","AK/300/AMPHURI/2017","H. Budi Darmawan, Se, Mm","Kemitraan","","Jawa Barat","Jawa Barat"
"499","PT WISATA SEMESTA BAROKAH","-","AK/311/AMPHURI/2017","H. Herry Cahyoko Soebijakto, Se, Mm","Kemitraan","","DKI Jakarta","Daerah Khusus Jakarta"
"500","PT INSAN MADANI WISATA TOUR & TRAVEL","-","AK/314/AMPHURI/2017","H. Hadi Dzulkhaidir Ahmad","PPIU","","Jawa Barat","Jawa Barat"
"501","PT ALTRARAYA WISATAMA","-","AK/327/AMPHURI/2017","H. R. Firdaus Noval Kausar","Kemitraan","","DKI Jakarta","Daerah Khusus Jakarta"
"502","PT RAYHAAN RIZKY KHAIR","-","AK/328/AMPHURI/2017","Hj. Rizky Alamsyah","Kemitraan","","Banten","Banten"
"503","PT MARISA DIAN NUSANTARA","-","AK/340/AMPHURI/2017","Hj. Yessie Marisa , Sip,M.Si","Kemitraan","","Sulawesi Selatan","Sulampua"
"504","PT ARSY INDONESIA MAKKULLE","-","352/AMPHURI/2017","Hj. Rasdianah Agussalim","PPIU","","Sulawesi Selatan","Sulampua"
"505","PT ALFINDO JAYA NUSANTARA","-","AK/356/AMPHURI/2017","H. Akhmad Zainal Arifin","Kemitraan","","Jawa Timur","Jawa Timur"
"506","PT PUTRA TUNGGAL UTAMA","-","AK/364/AMPHURI/2017","Hj. Ida Fauziah","Kemitraan","","Sulawesi Selatan","Sulampua"
"507","PT AURA MENTARI WISATA","-","AK/379/AMPHURI/2017","Hj. Lili Aswita","Kemitraan","","Sumatera Utara","Sumatera Utara"
"508","PT SAFIRA RAUDHATUL FADILLAH","-","AK/392/AMPHURI/2018","Hj. Fera Zohra","PPIU","","Sumatera Utara","Sumatera Utara"
"509","PT TAUHID MAKKAH TUR","Tmt","AK/417/AMPHURI/2018","H. Saipuloh","Kemitraan","","Jawa Barat","Jawa Barat"
